id,事務所id,名前,本名,別名,生年月日,没年月日,出身地,血液型,身長,方言,最終学歴,師匠,出身,active,activeend,配偶者,親族,弟子,公式サイト,YouTube,
1073,128,薄幸,小泉 美由紀（こいずみ みゆき）,みゆ吉,1993/1/24,,千葉県柏市,A型,160 cm,,,,ワタナベコメディスクール13期,2010/1/1,,,,,https://www.ohtapro.co.jp/talent/nagon.html,,
1074,108,鈴木もぐら,,,1987/5/13,,千葉県柏市旭市,A型,165cm,,大阪芸術大学中退,,NSC東京校17期,,,,,,,https://www.youtube.com/channel/UCMdLfSBEmAHXfjzG8nNwzxA,
1075,53,鈴木祐介,,,,,,,,,,,ワタナベコメディスクール15期（飯島）,2015/1/1,2018/12/4,,,,https://web.archive.org/web/20150525033015/http://www.sunmusic.org/profile/americancomics.html,,
1076,85,スター旭,旭 圭介,,1980/11/20,,北海道函館市,O型,170cm,,函館大学付属有斗高等学校卒業,,ワタナベコメディスクール2期,2005/1/1,,未婚,,,,,
1077,146,スタジオカドタ ,,カドタ,1985/7/7,,日本　大阪府,A型,,,,,NSC東京校13期,2008/1/1,,,,,https://blogs.yahoo.co.jp/studio_kadota_blog,,
1078,23,スタスタローン,近藤邦洋,,1980/5/10,,奈良県,O型,,,,,ワタナベコメディスクール4期,,,,,,,,
1079,108,すっちー,須知 裕雅（すち ひろまさ）,,1972/1/26,,大阪府摂津市,O型,158センチメートル,大阪弁,兵庫科学技術専門学校,,,1996/1/1,,既婚,,,https://profile.yoshimoto.co.jp/talent/detail?id=747,,
1080,108,須藤理恵,,,,,,,,,,,NSC大阪校17期,1997/4/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=176,,
1081,85,ズドン,須藤 祐（すどう ゆう）,,1980/1/5,,千葉県松戸市,A型,158cm,,,,,1998/1/1,,,,,http://com.horipro.co.jp/profile/34zudon.html,,
1082,104,砂川禎一郎,砂川禎一郎（すなかわていいちろう）,スン様,1981/9/24,,神奈川県,O型,170cm,共通語,法政大学,,大阪府,2000/1/1,,既婚者,,,https://www.watanabepro.co.jp/mypage/4000010/,,
1083,146,スパイシー坊や,岩方 時郎,,1993/10/29,,,A型,,,,,NSC東京校17期,2012/1/1,,,,,,https://www.youtube.com/user/crazybouya1029,
1084,108,スベリー杉田,杉田 宗広,スベリー・マーキュリー,1981/11/5,,神奈川県南足柄市,A型,178cm,,早稲田大学社会科学部卒業（2004年）,,NSC東京校7期,2002/1/1,,既婚,,,https://suberiesugita.amebaownd.com/,,
1085,999,須間一也,酒井一光,,1965/4/15,,東京都,A型,171 cm,,,,,,,,,,http://www006.upp.sonet.ne.jp/kz8web/,,
1086,128,スマイリーキクチ,菊池 聡（きくち さとし）,スマイリー、スマイリーさん,1972/1/16,,東京都足立区北千住,O型,170cm,共通語,体育専門学校,,,1993/1/1,,一般人女性（2011年）,一児あり,,https://ameblo.jp/smileykikuchi/,,
1087,999,角孝人,角 孝人（すみ たかひと）※角はクの下は用と書く,,1969/7/10,,大阪府 泉佐野市,O型,165cm,,,,,,,,,,,,
1088,88,住田隆,住田 隆,,1966/1/7,,東京都三鷹市,A型,170cm,,,,,,,,,,http://www.pjinriki.com/talent/sumitatakashi/,,
1089,108,隅田美保,,,1975/11/29,,兵庫県伊丹市,AB型,165cm,,,,NSC大阪校20期,1998/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=143,,
1090,47,スルメ ,,,1978/11/4,,兵庫県,O型,,,,,,2006/1/1,,,,,,,
1091,999,すわ親治,諏訪園（すわぞの） 親治（ちかはる）,すわ しんじ,1952/11/14,,鹿児島県鹿児島市吉野町,A型,167cm,,,いかりや長介,,,,,,,http://suwasworld.web.fc2.com/,,
1092,85,Seiko,,高椅ひろみ,1968/11/19,,埼玉県,B型,,,,,,,,,,,,,
1093,999,Seiko。,,,1988/4/1,,東京都,,,,,,,,,,,,,,
1094,108,誠子,狩野 誠子,,1988/12/4,,兵庫県神戸市,O型,162cm,,,,,2007/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=2879,,
1095,34,生徒会長金子,金子 茂樹（かねこ しげき),,1976/2/19,,神奈川県,O型,,,関東学院大学,,,2005/6/1,,,,,,,
1096,108,せいや,石川 晟也（いしかわ せいや）,せいやん、せやたん、酒神、 ズム兄(※zoomお兄さんの略)88マイル晟也(初期のピン芸名),1992/9/13,,大阪府東大阪市,A型,163 cm,関西弁,近畿大学文芸学部,,,2013/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=5089,https://www.youtube.com/channel/UC69LHPVPZ0EVf35eJp_m9cQ,
1097,53,セイワ太一,,,,,,,,,,,,1997/1/1,,,,,https://www.sunmusicgp.co.jp/talent/elshalakarni/,,
1098,108,瀬尾和寿,,,,,,,,,,,NSC東京校6期,2004/1/1,2015/4/1,,,,https://profile.yoshimoto.co.jp/talent/detail?id=3307,,
1099,999,世界のうめざわ,梅沢 佳一 （うめざわ よしかず）,,1972/5/4,,東京都板橋区,A型,172cm,,,Wエース,,1999/4/1,,,,,,,
1100,108,関暁夫,,,1975/6/21,,東京都,,168?cm (5?ft 6?in),,,,NSC東京校2期,1997/1/1,,あり,,,http://www.sekielberg.jp/,https://www.youtube.com/channel/UCo7QD2F0sVgkHSDV1TfAV7A,
1101,85,せきあっし,関 篤志（せき あつし）,,1983/2/18,,群馬県,A型,180cm,,利根商業高等学校,,スクールJCA14期,2005/1/1,2018/12/1,,,,https://ameblo.jp/sekinnikuman/,,
1102,128,関太,関智大,,1979/8/5,,群馬県吾妻郡中之条町,,163cm,,,,東京アナウンス学院,2000/1/1,,,,,https://www.ohtapro.co.jp/talent/timemachinesangou.html,https://www.youtube.com/channel/UCsSVOnuH739ibN24Lma12Q,
1103,53,関仁彦,,,,,,,,,,,TOKYO☆笑BIZ 2期生,2005/1/1,,,,,https://www.sunmusicgp.co.jp/talent/porkchop/,,
1104,83,関口大輔 ,関口大輔（せきぐち だいすけ）,,1982/10/11,,日本東京都荒川区,,,,足立学園高等学校卒業,,,2002/1/1,2009/12/21,,,,,,
1105,108,関田将人,,,1985/5/27,,新潟県三条市,O型,170cm,,,,NSC東京校10期,2014/12/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6003,,
1106,125,関根勤,関根 勤[注釈 1],ラビーラビット関根（旧芸名）,1953/8/21,,東京都港区,A型,168cm,共通語,日本大学法学部,萩本欽一,ぎんざNOW!,1974/1/1,,既婚,関根麻里（長女） K（韓国人歌手、麻里の夫）,,http://asaikikaku.co.jp/talent/profile/sekinetsutomu,,
1107,108,関町知弘,,,1983/3/2,,東京都渋谷区恵比寿,O型,176cm,,東海大学文学部アジア文明学科中退,,NSC東京校9期,2004/1/1,,,,,https://web.archive.org/web/20080207045738/http://rice.laff.jp/,,
1108,128,関谷友美,,,,,,,,,,,,2015/9/1,,,,,https://www.ohtapro.co.jp/talent/hanaichigo.html,,
1109,108,関谷風次,,,,,,,,,,,NSC東京校15期（風次） NSC東京校16期（にしざわ）,2014/5/20,,,,,http://blogs.yahoo.co.jp/uragiri_fuji,,
1110,101,セクシーJ,種田 穣一郎,,1979/8/15,,東京都葛飾区,A型,169cm,,東京造形大学,マキタスポーツ,,2007/1/1,,,,,http://officekitano.co.jp/talentposts/3816,,
1111,108,瀬下豊,,,1979/7/29,,鹿児島県鹿屋市,A型,177cm,,鹿児島県立鹿屋工業高等学校,,NSC大阪校26期,2004/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=393,,
1112,117,せつこ,永田摂子（ながた せつこ） （旧姓・平川）,,1982/1/27,,大分県竹田市,AB型,155cm,,大分工業高等専門学校,,松竹芸能タレントスクール東京校10期生,,,ゆるえもん,,,https://www.shochikugeino.co.jp/talents/setsuko,,
1113,146,瀬戸洋祐,,,,,,,,,,,オーディション,2003/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=630,,
1114,999,瀬戸わんや,,,,,,,,,,内海突破,,1952/1/1,1992/1/1,,,,,,
1115,96,せとたけお,勢登 健雄（読み同じ）,せとたけお（旧芸名）,,,石川県七尾市,B型,180cm,,横浜国立大学教育人間学科卒業,,,2008/1/1,,既婚（2017年11月）,,,https://www.maseki.co.jp/talent/setotakeo,,
1116,999,芹澤名人,芹澤 常夫,芹澤 新 芹澤 直也（旧芸名）,1958/2/10,,,,180cm,,,,,,,,,,http://www.iijimaroom.co.jp/profile/serizawa_meijin.html,,
1117,85,ゼンゴー,後 善一（うしろ よしかず）,もっとふゆき,1978/5/16,,和歌山県和歌山市,,,,,,スクールJCA13期,,,,,,https://www.youtube.com/channel/UCPXeCVuR6HWE3nDl03TIh_Q,,
1118,999,ゼンジー・一億,西山 秀一,,1952/6/20,,大阪府,,,,,,,,,,,,,,
1119,108,ぜんじろう,金谷 善二郎 （かなたに ぜんじろう）,,1968/1/30,,兵庫県姫路市,B型,170cm,,大阪芸術大学芸術学部 デザイン学科中退（現在は改名）,上岡龍太郎,,1987/1/1,,,,,http://www.zenjiro.com/,,
1120,88,センス爆発女,増山 緑（ますやま みどり）,セン爆,1986/6/21,,神奈川県横浜市,,168cm,,,,スクールJCA18期,2009/1/1,,,,,http://www.pjinriki.com/talent/sensebakuhatsuonna/,,
1121,999,せんだみつお,中野 光雄（なかの みつお）,千田光雄 せんだ光雄 二千田光雄 ムッシュ中野 浦島みつお,1947/7/29,,,O型,,,,,,,,あり,,,https://www.ikushimakikaku.co.jp/sendamitsuo/,,
1122,104,せんちゃん,仙庭 健太郎,,1977/8/4,,東京都中野区,B型,183cm,,,,,2000/1/1,,,,,https://www.watanabepro.co.jp/mypage/4000005/,,
1123,999,仙堂花歩,中島 麻衣（なかじま まい）,まいまい,1980/2/1,,,B型,,,,,,,,中島岳,,,,,
1124,999,船場太郎,,,1939/11/8,2020/11/27,,,,,,,,,,,,,,,
1125,88,早出明弘,,,,,,,,,,,スクールJCA12期,2004/1/1,2012/2/19,,,,http://www.pjinriki.com/talent/sodeakihiro/,,
1126,999,曾我廼家五郎,和田 久一,,1877/9/6,1948/11/1,,,,,,,,,,,,,,,
1127,108,曽我郁香,,,,,,,,,,,NSC東京校11期,2005/1/1,2013/8/31,,,,,,
1128,999,ソシコ,,,,,,,,,,,,,,,,,http://www.tosp.co.jp/i.asp?I=KUDASHI&P=,,
1129,108,粗品 ,佐々木 直人（ささき なおと）,天狗くん、粗(氏)、ギャン鬼霜降り明星佐々木,1993/1/7,,大阪府大阪市福島区,O型,185cm[要出典],大阪弁,同志社大学文学部国文学科中退,,,2011/1/1,,,,,https://www.universalmusic.co.jp/soshina/,https://www.youtube.com/channel/UC1H5dv45x2aFKk6JZLSWIQ,
1130,108,そのこ,河野 園子 （かわの そのこ）,,1981/4/23,,北海道札幌市,,156 cm,,,,NSC東京校24期,2018/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=7228,,
1131,38,そのまんま東,東国原（ひがしこくばる） 英夫（ひでお）,,1957/9/16,,宮崎県都城市,B型,170 cm,,,ビートたけし,,1981/1/1,2006/1/1,あり,,,http://www.sonomanmahigashi.net/,,
1132,146,それいけ斉藤くん,斎藤啓一,,1985/3/7,,岐阜県,A型,171.5cm,,岐阜県立土岐紅陵高等学校,,NSC名古屋校12期,2000/9/1,2016/12/1,離婚,,,https://profile.yoshimoto.co.jp/talent/detail?id=851,,
1133,53,村民代表南川,皆川 泰亮（みなかわ たいすけ）,村民（そんみん）南川ソンミン,1994/3/28,,岩手県滝沢村（現：岩手県滝沢市）,A,178 cm,,岩手大学人文社会科学部卒業,,,2017/1/1,,,,,https://www.sunmusicgp.co.jp/talent/sonmindaihyo_minamikawa/,,
1134,145,タージン,石川 雄三,,1962/6/18,,大阪府大阪市旭区,,167cm,関西弁,桃山学院大学,,素人演芸番組,1981/1/1,,,,,,,
1135,108,大 ,佐藤大,下絛 幽太郎,1980/2/18,,秋田県秋田市,B型,184cm,,秋田県立金足農業高等学校,,【遠山】 NSC東京校5期 【五明、大】NSC東京校6期,,,椿鬼奴,,,https://profile.yoshimoto.co.jp/talent/detail?id=454,,
1136,53,TAIGA,福谷 大河（ふくたに たいが）,,1975/11/20,,神奈川県川崎市,O型,173cm,共通語,高山短期大学卒業,,,1999/1/1,,近江知永（2017年）,桑原達秋（はとこ）,ぺこぱ カズレーザー オードリー,https://www.sunmusicgp.co.jp/talent/taiga/,,
1137,104,タイガー福田,,,,,,,,,,,NSC大阪校13期（イーグル、タイガー、サンキュー） NSC大阪校15期（ブー）,2001/1/1,,,,,http://choshinjuku.jp/,https://www.youtube.com/channel/UC8ao3oi5q70KccmjzrRKRYQ,
1138,59,たいがー・りー,平井 博（ひらい ひろし）,,1974/10/27,,神奈川県,B型,164cm,,早稲田眼鏡専門学校,,,2000/1/1,,,,,http://yohakutiger.com/,,
1139,123,代官山ボノ,安達康子（あだち やすこ）,,1983/3/30,,福島県,,162cm,,,,,2004/1/1,2012/1/1,,,,,,
1140,108,大悟 ,山本 大悟（やまもと だいご）,ダイ山本（ダイやまもと） 山本大娯,1980/3/25,,岡山県笠岡市北木島,B型,169 cm,岡山弁、関西弁,岡山県立笠岡商業高等学校,,オーディション,1998/1/1,,あり,,,https://profile.yoshimoto.co.jp/talent/detail?id=6221,,
1141,85,ダイス ,小原 大祐,,1984/1/21,,宮崎県,AB型,174cm,,埼玉県立鳩ヶ谷高等学校,,NSC東京校13期,1999/1/1,,未婚,,,https://blogs.yahoo.co.jp/kohara_blog,,
1142,108,たいぞう,横山泰三（よこやま たいぞう）,,1974/1/12,,香川県観音寺市,A型,167cm,大阪弁,尽誠学園高等学校,,NSC大阪校11期,1993/1/1,,既婚,,,https://profile.yoshimoto.co.jp/talent/detail?id=674,,
1143,117,代走みつくに,光國 大輔（みつくに だいすけ）,,1974/6/2,,兵庫県,B型,168cm,,花園大学卒業,,,,,既婚,妻、息子3人,,,,
1144,108,だいたひかる,小泉 ひかる,,1975/5/25,,埼玉県東松山市,O型,158.8cm,共通語,埼玉県立鶴ヶ島高等学校,,,1998/1/1,,北本かつら（2006年2007年） 小泉貴之（2013年）,,,https://profile.yoshimoto.co.jp/talent/detail?id=719,,
1145,117,だいどぅ,,,,,,,,,,,松竹芸能タレントスクール24期生（星ちゃん） 松竹芸能タレントスクール25期生（だいどぅ）,2017/1/1,,,,,https://www.shochikugeino.co.jp/talents/tabegoropeach2/,,
1146,117,大納言光子,,,1985/7/29,,東京都,AB型,160cm,,,,松竹芸能タレントスクール東京校23期生,,,,,,https://www.shochikugeino.co.jp/talents/dainagonmitsuko/,,
1147,108,かつみ,市田克彦,太平かつみ,1963/2/27,,京都府,O型,,,桃山学院大学経済学部,大平シロー（かつみ） 六代桂文枝（さゆり）,NSC大阪校2期（かつみ）,1995/1/1,,,,,,,
1148,108,大平サブロー,芦田 秀嗣,サブやん、サブ兄、サブ師,1956/2/24,,大阪府守口市,O型,170 cm,大阪弁,大阪市立此花工業高等学校,レツゴー三匹,,1976/1/1,,既婚,妻、息子,,https://profile.yoshimoto.co.jp/talent/detail?id=713,,
1149,108,大平シロー,伊東 博,シローちゃん,1956/10/30,2012/2/9,大阪府泉大津市,B型,,泉州弁,大阪府立泉大津高等学校,レツゴー三匹,,1976/1/1,2012/1/1,,,太平かつみ、小米良啓太 、ボス水野,,,
1150,128,大門与作,佐藤 慎也,,1975/5/17,,宮城県,O型,,,,,,,,,,,https://ameblo.jp/daimon439/,,
1151,108,タカ ,鈴木 崇大（すずき たかひろ）,タカちゃん,1976/4/3,,北海道札幌市豊平区,B型,175cm,共通語,北海高等学校,志村けん,,1995/1/1,,鈴木奈津子,長男、長女,,,,
1152,108,高井俊彦,高井 俊彦,ビッチ、デカイさん,1975/8/27,,奈良県奈良市,O型,165cm,奈良弁,奈良県立平城高等学校,,NSC大阪校15期,1995/1/1,,既婚,,,,,
1153,999,高石太,鈴木 雄偉,,1948/10/4,2020/1/31,愛媛県,,,,,,,,,,,,,,
1154,999,たかおみゆき,高尾 美由紀,高尾 美由紀（旧芸名）,1971/9/3,,,A型,,,,,,,,,,,,,
1155,125,高垣雄海,,,,,,,,,,,中学生時代のクラスメイト,2004/1/1,2007/1/1,,,,https://web.archive.org/web/20110522171601/http://www.asaikikaku.co.jp/profile/kuronmoron/,,
1156,108,高木晋哉,,,1980/8/18,,神奈川県横浜市青葉区青葉台,A型,178cm,,蔭学園高等学校,,NSC東京校8期,2003/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=612,https://www.youtube.com/joymanrap,
1157,27,高木ブー,高木（たかぎ） 友之助（とものすけ）,ブーたん ロクさん・ロクちゃん 友ちゃん,1933/3/8,,東京府東京市豊島区生まれの千葉県東葛飾郡柏町育ち,O型,160cm,共通語,中央大学経済学部卒業,,,1955/1/1,,独身（一般人女性と1994年に死別）,,,,,
1158,44,高岸宏行,,,1992/10/8,,愛媛県西条市,A型,188cm,,東洋大学経営学部,,,2015/1/1,,,,,,https://www.youtube.com/channel/UC7M5B6wHkVRtODeNK2Q7BmQ,
1159,53,高倉陵,,,,,,,,,,,東京アナウンス学院,2001/1/1,,,,,https://www.sunmusicgp.co.jp/talent/sanbyoshi/,,
1160,108,たかくら引越センター,高倉弘樹（たかくらこうき）,,1982/4/27,,福岡県朝倉郡東峰村,O型,,,,,NSC東京11期生,2007/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=3939,,
1161,2,高佐一慈,,,,,,,,,,,故林広志第3期コントサンプル,2004/1/1,,,,,http://ashd.info/geese.html,https://www.youtube.com/channel/UCAeTkHJBS7B5NR86sO1U7GA,
1162,108,高坂敏孝,,,,,,,,,,,NSC大阪校31期（福田） NSC大阪校27期扱い（花谷）,2017/3/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6478,,
1163,999,高砂家ちび助,森田 辰五郎,,,1983/2/2,,,,,,桂小文治 高砂家吉右衛門,,,,,,,,,
1164,108,たかし,須藤 敬志,,1986/1/30,,東京都小平市,B型,168cm,,,,NSC東京校10期,2005/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=2745,,
1165,999,高関優,,,1981/5/18,,,B,176cm,,,,,,,,,,,,
1166,117,高田紗千子,,,,,,,,,,,,2000/1/1,,,,,https://www.shochikugeino.co.jp/talents/umekobachi,,
1167,128,高田千尋,高田 千尋,,1985/4/16,,青森県青森市,AB型,162cm,共通語、津軽弁,明星大学人文学部心理・教育学科,,,1999/1/1,,未婚,,,https://ameblo.jp/burnchihiro0416/,,
1168,108,タカタ先生 ,高田和典,,1982/12/29,,広島県,AB型,,,東京学芸大学教育学部数学科,,NSC東京校13期,2008/1/1,,,,,,,
1169,96,高田ぽる子,高田 侑奈（たかだ ゆうな）,,1999/1/26,,北海道野付郡別海町,A型,152cm,,札幌放送芸術&ミュージック・ダンス専門学校 卒業,,,2019/1/1,,,,,https://www.maseki.co.jp/talent/TakadaPoruko,,
1170,88,高橋健一 ,高橋 健一,パーケン,1971/3/30,,東京都大田区,AB型,170cm,共通語,関東学院大学経済学部卒業,,スクールJCA6期,1997/1/1,2015/1/1,独身（未婚）,,,,,
1171,108,高橋茂雄,,犬井ヒロシ,1976/1/28,,京都府京都市下京区,A型,176 cm,京都弁,立命館大学産業社会学部,,2丁目ワチャチャライブJr.,1994/1/1,,未婚,,,https://profile.yoshimoto.co.jp/talent/detail?id=154,,
1172,10,高橋なんぐ,,,1981/3/27,,新潟県長岡市,A型,170cm,,,,,,,あり（2014年2月14日入籍）,,,http://namara.info,,
1173,88,高橋諒哲,,,,,,,,,,,,2009/12/1,2014/6/1,,,,http://www.pjinriki.com/pc/talent/spannerpench/,,
1174,85,高橋ちゃん,髙橋 恒平（たかはし こうへい）,,1985/2/5,,埼玉県所沢市,B型,161cm,共通語,神奈川工科大学卒業,,スクールJCA23期,2015/1/1,2018/9/2,,,,,,
1175,999,高松しげお,高松 茂雄,晴乃 タック（はるの たっく）,1943/11/25,,,,163cm,,,,,,,,,,,,
1176,117,高松新一,,,1980/11/21,,千葉県富里市,B型,,関西弁,千葉県立富里高等学校卒業,,,1999/1/1,,独身（離婚歴あり）,,,https://ameblo.jp/ozintakamatsu/,,
1177,128,高松信太郎,,,,,,,,,,,,1998/1/1,,,,,,,
1178,60,タカマッチ,,,1978/9/13,,千葉県,,177cm,,千葉県立浦安南高等学校卒業,,ワタナベコメディスクール26期 タイタンの学校1期,2019/1/1,,,,,https://www.takamatchi.com/,,
1179,85,たかまつなな,高松 奈々,,1993/7/5,,神奈川県横浜市 （大阪府八尾市生まれ）,O型,159cm,,慶應義塾大学大学院政策メディア研究科,,ワタナベコメディスクール15期（特待生）,,,,,,https://takamatsunana.com,,
1180,108,高山トモヒロ,高山 知浩,,1968/7/10,,大阪府大阪市浪速区,,174cm,大阪弁,大阪市立桜宮高等学校卒業,,NSC大阪校7期,1988/1/1,,既婚,光永（次女）,,http://www.bekkoame.ne.jp/ro/gg9693/takayama.html,,
1181,999,タカユ機01,,,1983/12/15,,青森県,AB型,172cm,,,,,,,あり,,,https://profile.ameba.jp/ameba/takayumachine,,
1182,125,TAKIUE,瀧上伸一郎,,1978/12/2,,岐阜県下呂市,B型,,,岐阜県立斐太高等学校,,,2000/6/1,,,,,http://asaikikaku.co.jp/talent/profile/nagareboshi,,
1183,147,宮本裕平,,,,,,,,,,,NSC東京校15期,2007/1/1,2009/1/1,,,,https://neetproject.com/profile/rich/,,
1184,88,瀧音圭輔,,,,,,,,,,,スクールJCA16期,2007/1/1,2011/8/1,,,,http://www.pjinriki.com/pc/talent/retrain/,,
1185,128,滝沢秀一,,,,,,,,,,,,1998/1/1,,,,,https://www.ohtapro.co.jp/talent/machineguns.html,,
1186,999,瀧見信行,瀧見 信行,,1981/7/12,,,B型,156 cm,,,,,,,,,,,,
1187,999,田口絵未花,,,1992/11/15,,三重県津市,B型,,,椙山女学園大学人間関係学部心理学科,,,,,,,,http://witchmagic.com/emika.html,,
1188,94,田口浩正,田口 浩正（たぐち ひろまさ）,,1967/10/8,,,O型,180cm,,,,,,,あり（2002年 ‐ ）,,,https://www.horipro.co.jp/taguchihiromasa/,,
1189,999,竹井輝彦,竹井輝彦,,1965/9/17,,徳島県阿南市,,,,,,,1986/1/1,,,,,,,
1190,999,竹内幸輔,,,1976/7/4,,,A型,179 cm,,,,,,,,,,http://www.kekke.co.jp/talent/male/takeuchi.html,,
1191,108,竹内知咲,,,,,,,,,,,NSC大阪校38期,2016/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6698,https://www.youtube.com/channel/UCS9TpP7vSsk3ka0muNgl05w,
1192,44,竹内まなぶ,竹内 学,,1988/9/16,,茨城県鉾田市,O型,175cm,茨城弁,早稲田大学政治経済学部経済学科中退,,,2011/4/1,,,,,https://grapecom.jp/talent_writer/kaminari/,,
1193,123,竹内都子,菅原 都子（すがわら みやこ）,みやちゃん,1962/2/5,,大阪府吹田市,,,,,,,,,菅原大吉,,,,,
1194,999,竹内康晃,竹内 康晃（たけうち やすあき）,,1977/5/4,,東京都,B型,161cm,共通語,,,,1994/1/1,,,,,,,
1195,108,竹尾悠兵,,,,,,,,,,,,2003/1/1,,,,,https://www.yoshimoto.co.jp/fukuoka/talent/pc/2015/03/nora.php,,
1196,85,アマレス兄,竹岡和範,,1975/9/13,,広島県三次市生まれ  広島市安芸区船越育ち,AB型,163cm,,日本 広島電機大学付属高校卒業 （現：広島国際学院高等学校）,,,1995/1/1,,,,,https://twitter.com/hyenatakeoka,,
1197,85,竹川幸弘,,,,,,,,,,,ワタナベコメディスクール3期,2008/1/1,2009/1/1,,,,,,
1198,85,武田一人,齋藤強一 （さいとう　きょういち）,,1969/6/18,,日本?東京都,A型,181センチ,共通語,専修大学商学部中退,,,,,,,,,,
1199,69,竹田高利,竹田 高利,竹田君,1957/1/22,,,,,,,,,1983/1/1,,,,,http://tom74.main.jp/yamatake.html,,
1200,999,たけだバーベキュー,,,1986/1/17,,兵庫県加古川市,,,,,,,,,,,,,,
1201,60,タケタリーノ山口,,,1975/9/29,,神奈川県,A型,170cm,,,,,2003/6/1,2009/11/1,,,,http://shunkanmetal.jp/,,
1202,108,武智正剛,,,,,,,,,,,NSC大阪校22期,2003/1/1,2007/1/1,,,,https://profile.yoshimoto.co.jp/talent/detail?id=387,https://www.youtube.com/channel/UCMcR5t3F2dgNumXLkVBdc9g,
1203,146,タケト,,,1976/3/2,,千葉県千葉市中央区,B型,165cm,標準語,,,,1996/1/1,,既婚,,,https://profile.yoshimoto.co.jp/talent/detail?id=227,,
1204,999,竹中直人,,,1956/3/20,,神奈川県横浜市金沢区,A型,168 cm,,,,,,,木之内みどり（1990年）,,,http://www.from1pro.jp/talent/detail.php?id=2,,
1205,108,竹永善隆,,,,,,,,,,,NSC東京校4期,1998/1/1,2017/3/1,,,,,https://www.youtube.com/user/commanicenti,
1206,146,竹森巧,,,1978/3/21,,北海道札幌市,,177cm,,,,札幌吉本のオーディション番組,1996/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=188,,
1207,44,たける,,,1995/3/24,,岡山県高梁市成羽町,B型,174cm,,中央大学商学部,,NSC東京校20期（ショーゴ）,2014/9/21,,,,,https://grapecom.jp/talent_writer/tokyohoteison/,https://www.youtube.com/channel/UCNKU6ZxHDLgzTgiz0WnekQ,
1208,108,竹若元博,竹若元博,,1970/8/12,,京都府京都市,O型,160cm,京都弁,京都教育大学教育学部附属高等学校,,NSC大阪校8期,1989/1/1,,既婚,,,https://web.archive.org/web/20080330032713/http://buffalotakewaka.laff.jp/,,
1209,999,たこ八郎,斉藤 清作（さいとう せいさく）,たこちゃん,1940/11/23,1985/7/24,宮城県仙台市宮城野区,,,標準語,仙台育英学園高等学校,由利徹,舞台,1965/1/1,1985/1/1,,,,,,
1210,108,田崎佑一,,,1981/1/29,,兵庫県神戸市北区,O型,178cm,,宝塚造形芸術大学,,NSC大阪校26期,2005/1/1,,,,,,,
1211,128,田島直弥 ,,,,,,,,,,,専門学校東京アナウンス学院,2005/1/1,,,,,,https://www.youtube.com/channel/UCxairDZpr_PzbzIaGLv7Q2Q,
1212,83,田代32,田代 恒昭,,1970/2/6,,,,,,,,,,,,,,,,
1213,999,田代まさし,田代 政（たしろ まさし）,マーシー 田代 マサシ,1956/8/31,,東京都新宿区,A型,172 cm,,,,,,,独身（2005年に元夫人と獄中離婚）,,,,,
1214,108,多田健二,多田 健二,,1974/8/8,,大阪府枚方市,B型,173 cm,大阪弁,大阪府立磯島高等学校（現・大阪府立枚方なぎさ高等学校）,,NSC大阪校12期,1993/1/1,,既婚,,,https://profile.yoshimoto.co.jp/talent/detail?id=192,,
1215,108,多田智佑,,,1986/1/9,,大阪府大阪市,O型,173cm,,大阪府立旭高等学校,,NSC大阪校27期,2009/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=3379,,
1216,999,立花家橘之助 (2代目),茂木 康子,,1960/11/3,,東京都台東区,,,,,3代目三遊亭圓歌,,,,,,,,,
1217,999,タツキ・マイアミ,髙橋 竜基,,,,フィリピン（ココナッツの原産国ということで）,,不明,,,,,,,,,,,,
1218,999,タックルながい。,長位 章充（ながい あきよし）,,1973/10/16,,,AB,176,,,,,,,,,,,,
1219,999,辰己智之,,,1982/7/6,,,A,178,,,,,,,,,,,,
1220,108,たつろう,浦辻 達郎（うらつじ たつろう）,,1984/5/26,,富山県南砺市,B型,175 cm,,新潟大学卒業,,NSC東京校13期,2010/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6970,,
1221,44,伊達みきお,伊達 幹生,伊達ちゃん,1974/9/5,,宮城県泉市（現・宮城県仙台市泉区）,A型,170cm,共通語、仙台弁,仙台商業高等学校 （現・仙台市立仙台商業高等学校）,,,1998/1/1,,熊谷麻衣子,,あぁ?しらき,,,
