名前,本名,ニックネーム,生年月日,没年月日,出身地,血液型,身長,方言,最終学歴,師匠,出身,active,activeend,公式サイト,YouTube,enta_id,office_id
兼近大樹,兼近 大樹,かねち、かねちー,1991/5/11,,北海道札幌市北区,O型,172 cm,共通語,北海道札幌北高等学校定時制中退,,NSC東京校19期,1988/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6549,,,19
兼光タカシ,,,,,,,,,,,NSC大阪校25期,2007/1/1,2017/1/17,https://profile.yoshimoto.co.jp/talent/detail?id=606,,493,93
兼島ダンシング,兼島 信茂（かねしま のぶしげ）,,1974/3/26,,沖縄県那覇市,O型,174cm,,都城高等学校,,松竹芸能タレントスクール東京校11期,2006/1/1,2013/1/1,,,261,61
見た目が邦彦,小鹿 真意,,1975/1/20,,埼玉県,A型,172cm,,,,,2016/1/18,,http://www.wgwf.com/kousei/pages/mitamega.htm,,73,73
見浦彰彦,,,,,,,,,,,専門学校東京アナウンス学院,2019/1/1,,,https://www.youtube.com/channel/UCxairDZpr_PzbzIaGLv7Q2Q,121,21
元氣安,森岡 弘,教祖,1970/6/9,,山口県柳井市,O型,,共通語,山口県立柳井工業高等学校,,WAHAHA本舗,2018/1/1,,http://blog.livedoor.jp/oioi_genki/,,323,23
原一平,日下部 護,,1938/3/22,2014/12/4,北海道上川郡当麻町,,,東京方言,専修大学経済学部,,,2017/1/1,,,,,58
原口あきまさ,原口 晶匡,ものまね兄やん,1975/11/3,,福岡県北九州市,O型,160cm,共通語、北九州弁,専門学校東京アナウンス学院,,現事務所直入,1963/1/1,2010/1/1,,https://www.youtube.com/channel/UCRDstmMnwAJrR80emGLYIeQ,471,71
原俊作,,,1972/6/12,,東京都台東区,B型,177cm,,,,,2017/1/1,,,,,3
原慎一,,,1982/11/7,,山梨県,B型,171cm,共通語,法政大学,,,2005/1/1,2010/1/1,https://www.watanabepro.co.jp/mypage/4000010/,,349,49
原西孝幸,原西孝幸,"ラリーゴ、はらにっちゃん、ゴリラ、ゴリ蔵、たかやん、やんたか、

はらちゃん、ゴリハラ、ハラゴリ、えねごり、プロゴリラー、ゴリ西",1971/3/5,,大阪府寝屋川市,A型,170 cm,大阪弁,奈良大学文学部地理学科中退,,NSC大阪校8期,2017/1/1,,,,257,57
原哲男,柳原 哲也（やなぎはら てつや）,,1934/3/21,2013/1/11,,,,,,,,1957/1/1,1979/1/1,,,,52
原田17才,原田 尚紀（はらだ なおき）,,1972/8/18,,神奈川県,A型,,,国士舘大学,,,1933/1/1,,http://wahahahompo.co.jp/member_profile/harada17sai.pdf,,419,19
原田おさむ,,,1975/12/12,,大阪府,A型,187cm,関西弁,,,,2017/1/1,,https://ameblo.jp/osamuharada-osamuharada/,,416,16
原田フニャオ,,,,,,,,,,,NSC東京校16期,2017/1/1,1989/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=4459,https://www.youtube.com/channel/UCcg9UFNQTlEBTSKDpzIVShQ,,42
原田誠,,,,,,,,,,,NSC大阪校28期,2017/1/1,,,,,35
原田泰造,原田 泰造,タイゾー、泰ちゃん,1970/3/24,,東京都,B型,178 cm,共通語,,,,1954/1/1,1982/1/1,https://www.watanabepro.co.jp/mypage/30000001/,,278,78
原田良也,原田 良也（はらだりょうや）,,1976/11/8,,京都府京都市太秦,A型,168cm,大阪弁,立命館大学産業社会学部人間文化コース中退,,NSC大阪校18期,2017/1/1,,,,94,94
源氏太郎,,,,,,,,,,春風亭小柳三 東喜代駒,,2004/1/11,2014/1/11,,,,65
古家後惣一,,,,,,,,,,,,2008/1/11,,,,190,90
古家祥吾,,どんちゃん（ピン活動時）,1987/10/7,,埼玉県坂戸市,AB型,171cm,,埼玉県立坂戸西高等学校卒業,,NSC東京校12期,2018/1/1,,,,230,30
古賀シュウ,古賀 修一（こが しゅういち）,,1967/10/6,,愛知県,AB型,,,国際武道大学卒業,,,1963/1/1,,https://www.ohtapro.co.jp/talent/kogashu.html,,,69
古坂大魔王,古坂 和仁（こさか かずひと）,こっつぁん,1973/7/17,,青森県青森市,A型,186cm,共通語/津軽弁,青森県立青森東高等学校,,,1996/1/1,2009/1/1,https://avex.jp/pikotaro/,https://www.youtube.com/channel/UCKpIOnsk-gcwHXIzuk24ExA,318,18
古川ちえみ,,,,,神奈川県,O型,,,,,,2017/1/12,2005/1/1,http://ip.tosp.co.jp/i.asp?i=esekango,,,77
古川ロッパ,古川 郁郎（ふるかわ いくろう）,,1903/8/13,1961/1/16,,,,,,,,2018/1/1,,,,,9
古谷まみれ,,,,,,,,,,,スクールJCA21期（成岡） ワタナベコメディスクール24期,2013/1/17,,,,,73
古谷健太,,こやけん,1990/7/13,,徳島県徳島市,A型,185cm,阿波弁,,,NSC東京校19期,2005/1/1,2008/1/1,https://www.koyaken.com,https://www.youtube.com/channel/UCkN0gMiiBS0RE8xjxC0CNgA,,59
古澤光弘,,,,,,,,,,,,1996/1/1,2002/1/1,,,,36
古澤麻由子,,,,,,,,,,,ワタナベコメディスクール10期,2017/1/1,,https://tap-1.jp/busy/,,,20
戸塚睦夫,戸塚 睦夫,ムッちゃん,1931/4/20,1973/5/12,東京都,,,東京方言,,,石井均一座,1992/1/1,,,,29,29
菰岡真美,,,,,,,,,,,ワタナベコメディスクール1期（赤羽） ワタナベコメディスクール2期（菰岡） 専門学校東京アナウンス学院芸能バラエティ科,2009/1/1,2020/1/1,http://pksp.jp/madchen/,,273,73
五十嵐サキ,五十嵐 亜紀子（いがらし あきこ）,,1973/12/1,,,A型,,,,,,2016/4/1,,,,,18
五明拓弥,,,,,,,,,,,【遠山】 NSC東京校5期 【五明、大】NSC東京校6期,2018/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=454,,,42
後藤輝基,後藤 輝基,,1974/6/18,,大阪府大阪市東淀川区,B型,170 cm,大阪弁,大阪府立山田高等学校卒業,,NSC大阪校14期,2000/1/1,,,,463,63
後藤秀樹,同じ,,1972/1/21,,大阪府高槻市,O型,163cm,大阪弁,大阪府立春日丘高等学校定時制卒業,,NSC大阪校10期,2012/1/1,2020/1/1,https://web.archive.org/web/20140704025057/http://blogs.yahoo.co.jp/gotohideki_blog,,321,21
後藤淳平,,,1984/3/20,,日本大阪府吹田市,AB型,177cm,関西弁,関西大学経済学部,,NSC大阪校25期,2008/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=179,,455,55
後藤拓実,,,,,,,,,,,ワタナベコメディスクール22期,1994/1/1,2006/1/1,https://www.watanabepro.co.jp/mypage/4000081/,https://www.youtube.com/channel/UC_RNTt0woXncVfZMmjK9swA,,48
後藤奈央 (お笑い芸人),,雪の妖精,1990/6/28,,宮城県仙台市,O型,162cm,,東北芸術工科大学,,スクールJCA23期,2009/1/1,2019/1/1,http://www.p-jinriki.com/talent/nakayoshi,,,31
後藤亮介,,,,,,,,,,,目黒笑売塾6期生,2004/1/1,2009/1/1,http://com.horipro.co.jp/talent/hotate-zu/,,,99
光浦靖子,光浦靖子,,1971/5/20,,愛知県田原市,A型,160cm,共通語,東京外国語大学外国語学部インドネシア語学科,,,2017/1/1,,http://www.p-jinriki.com/talent/oasiz/,,335,35
光永,高山 光永,,1991/10/6,,大阪府大阪市,A型,,,日本大学芸術学部演劇学科卒業,,NSC大阪校30期,2015/1/1,,,,,5
厚切りジェイソン,ジェイソン・デイヴィット・ダニエルソン（Jason David Danielson）,,1986/4/9,,アメリカ合衆国 ミシガン州,O or A,186 cm,,イリノイ大学アーバナ・シャンペーン校,,ワタナベコメディスクール19期,2014/1/1,,https://www.watanabepro.co.jp/mypage/40000169/,,,58
口笛なるお,,,,,,,,,,,,2009/1/1,2019/1/1,https://grapecom.jp/talent_writer/warafujinaruo/,,,80
向井慧,向井 慧（むかい さとし）,,1985/12/16,, 愛知県名古屋市熱田区,O型,169cm,共通語,明治大学政治経済学部卒業,,NSC東京校11期,2018/1/1,,,,162,62
向坂匡喬,,,,,,,,,,,NSC東京校13期,1999/1/11,2011/1/12,,,260,60
向清太朗,向 清太朗,,1980/2/27,,広島県福山市,B型,164cm,大阪弁,,,NSC大阪校21期,2018/1/1,,https://web.archive.org/web/20060219025158/http://www.geocities.jp/tensin1225/,,217,17
好井まさお,,,,,,,,,,,NSC東京校11期（好井） NSC大阪校28期（井下）,2018/1/11,,https://profile.yoshimoto.co.jp/talent/detail?id=2787,,186,86
好田タクト,好田（こうだ） 誠一（せいいち）,,1962/11/12,,兵庫県明石市人丸町,,,,,,,2008/1/1,2013/1/1,https://web.archive.org/web/20080420141143/http://www.geocities.jp/butsuzou28/,,178,78
広川ひかる,上島 光（旧姓 広川）,,1970/10/6,,埼玉県本庄市,A型,163cm,,,,,2002/1/1,,,,,91
広木英介,,,,,,,,,,,,2003/1/12,2012/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=5078,,,9
江戸家まねき猫,岡田（おかだ） 富士子（ふじこ）,,1967/10/31,,東京都中央区,,,,,3代目江戸家猫八,,2017/1/1,,,,,71
江口直人,,,,,日本,,,,,,佐賀県三養基郡基山町,2005/1/18,,http://asaikikaku.co.jp/talent/profile/doburock,,61,61
江口歩,江口 歩,,1964/12/16,,新潟県新潟市,,,,,,,1982/1/1,1984/1/1,http://www.namara.tv/,,,51
江崎峰史,,,,,,,,,,,NSC東京校9期,2006/1/1,,,,24,24
江上敬子,,,,,,,,,,,日本映画学校,2013/1/1,,https://www.maseki.co.jp/talent/nicche,,110,10
江頭2:50,江頭 秀晴 （えがしら ひではる）,エガちゃん エガ 山田秀晴,1965/7/1,,佐賀県神埼郡千代田町（現:神埼市）,B型,178cm,標準語 佐賀弁,九州産業大学経済学部経済学科中退,,,2015/1/17,,https://bampeiyu-mgmt.com/artist/,https://www.youtube.com/channel/UCL6JY2DXJNDOIqCP1CRADng,243,43
江波戸邦昌,,,,,,,,,,,NSC東京校5期（江波戸）,2012/1/1,,http://asaikikaku.co.jp/talent/profile/otenki,,383,83
溝口幸雄,溝口幸雄,,,,大阪府泉大津市,O型,171cm,,大阪府立高石高等学校,,NSC大阪校35期,2016/1/18,,,,,88
荒木巴,荒木 智子,巴姫,1979/10/13,,新潟県長岡市,O型,164cm,,大阪芸術大学,,,2004/1/1,,https://www.arakitomoe.com/,,,2
高井俊彦,高井 俊彦,ビッチ、デカイさん,1975/8/27,,奈良県奈良市,O型,165cm,奈良弁,奈良県立平城高等学校,,NSC大阪校15期,1994/1/1,2000/1/1,,,469,69
高垣雄海,,,,,,,,,,,中学生時代のクラスメイト,1992/1/1,2000/1/1,https://web.archive.org/web/20110522171601/http://www.asaikikaku.co.jp/profile/kuronmoron/,,43,43
高関優,,,1981/5/18,,,B,176cm,,,,,2009/1/1,2016/1/1,,,,47
高岸宏行,,,,,,,,,,,,2003/1/1,,,https://www.youtube.com/channel/UC7M5B6wHkVRtODeNK2Q7BmQ,,14
高橋ちゃん,髙橋 恒平（たかはし こうへい）,,1985/2/5,,埼玉県所沢市,B型,161cm,共通語,神奈川工科大学卒業,,スクールJCA23期,2006/1/1,,,,,20
高橋なんぐ,,,1981/3/27,,新潟県長岡市,A型,170cm,,,,,2010/1/1,2018/1/1,http://namara.info,,,44
高橋健一 (お笑い芸人),高橋 健一,パーケン,1971/3/30,,東京都大田区,AB型,170cm,共通語,関東学院大学経済学部卒業,,スクールJCA6期,2009/4/1,,,,125,25
高橋茂雄,,,1976/1/28,,京都府京都市下京区,A型,176 cm,京都弁,立命館大学産業社会学部,,2丁目ワチャチャライブJr.,1991/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=154,,417,17
高橋諒哲,,,,,,,,,,,,2019/1/1,2012/1/1,http://www.p-jinriki.com/pc/talent/spannerpench/,,,31
高佐一慈,,,,,,,,,,,故林広志第3期コントサンプル,2001/1/1,2013/1/1,http://ash-d.info/geese.html,https://www.youtube.com/channel/UCAeTkHJBS7B5NR86sO1U7GA,29,29
高砂家ちび助,森田 辰五郎,,,1983/2/2,,,,,,桂小文治 高砂家吉右衛門,,2003/1/1,2013/1/1,,,,25
高坂敏孝,,,,,,,,,,,NSC大阪校31期（福田） NSC大阪校27期扱い（花谷）,2007/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6478,,,72
高山トモヒロ,高山 知浩,,1968/7/10,,大阪府大阪市浪速区,,174cm,大阪弁,大阪市立桜宮高等学校卒業,,NSC大阪校7期,1995/1/1,2000/1/1,http://www.bekkoame.ne.jp/ro/gg9693/takayama.html,,232,32
高松しげお,高松 茂雄,,1943/11/25,,,,163cm,,,,,2005/1/1,2007/1/1,,,,89
高松信太郎,,,,,,,,,,,,2009/1/1,,,,169,69
高松新一,,,1980/11/21,,千葉県富里市,B型,,関西弁,千葉県立富里高等学校卒業,,,2006/1/14,,https://ameblo.jp/ozin-takamatsu/,,221,21
高石太,鈴木 雄偉,,1948/10/4,2020/1/31,愛媛県,,,,,,,2007/1/15,,,,,67
高倉陵,,,,,,,,,,,東京アナウンス学院,1998/1/1,2011/1/1,https://www.sunmusic-gp.co.jp/talent/sanbyoshi/,,363,63
高田ぽる子,高田 侑奈（たかだ ゆうな）,,1999/1/26,,北海道野付郡別海町,A型,152cm,,札幌放送芸術&ミュージック・ダンス専門学校 卒業,,,2011/1/1,,https://www.maseki.co.jp/talent/TakadaPoruko,,,88
高田紗千子,,,,,,,,,,,,2001/1/1,2014/1/1,https://www.shochikugeino.co.jp/talents/umekobachi,,297,97
高田千尋,高田 千尋,,1985/4/16,,青森県青森市,AB型,162cm,共通語、津軽弁,明星大学人文学部心理・教育学科,,,1998/1/11,2008/1/14,https://ameblo.jp/burn-chihiro0416/,,225,25
高木ブー,高木（たかぎ） 友之助（とものすけ）,ブーたん ロクさん・ロクちゃん 友ちゃん,1933/3/8,,東京府東京市豊島区生まれの千葉県東葛飾郡柏町育ち,O型,160cm,共通語,中央大学経済学部卒業,,,1999/1/1,,,,20,20
高木晋哉,,,,,,,,,,,NSC東京校8期,2016/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=612,https://www.youtube.com/joymanrap,466,66
轟二郎,三浦 康一,,1954/8/19,2020/8/2,,,,,,,,2007/1/15,2010/1/19,,,,70
国井咲也,国井 咲也 （くにい さくや）,咲也きゅん,1971/1/19,,東京都葛飾区,A型,182cm,,,,,1989/1/1,,http://www.h4.dion.ne.jp/~k-sakuya/,,,92
国崎恵美,国崎恵美（くにさき えみ）,,1976/12/24,,大阪府東大阪市,O型,162cm,大阪弁,東大阪市立日新高等学校卒業,,NSC大阪校14期,1984/1/1,1994/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=860,,483,83
国沢一誠,,,,,,,,,,,,2005/1/1,2010/1/1,,,131,31
黒ラブ教授,湯沢友之,,,,東京都,B型,165cm,,,,NSC東京校8期,1988/1/1,1989/1/1,http://kurolovekyouzyu.web.fc2.com/,,,1
黒瀬純,黒瀬 純,,1975/5/8,,福岡県糟屋郡篠栗町,O型,163cm,共通語・博多弁,東福岡高等学校,,福岡吉本8期生,1981/1/1,1983/1/1,,,78,78
黒沢かずこ,黒沢（くろさわ） 宗子（かずこ）,,1978/10/17,,茨城県ひたちなか市 （旧勝田市）,O型,158cm,共通語,専修大学中退,,NSC東京校4期,2008/1/1,2015/1/1,,,180,80
黒田カントリークラブ,黒田 大三（くろだ たいぞう）,,1970/2/27,,熊本県,AB型,,,,,,2008/1/1,,http://www.kuroda.cc/,,12,12
黒田俊幸,,,,,,,,,,,,1998/1/1,,http://com.horipro.co.jp/talent/daburubukking/,,166,66
黒田有,黒田（くろだ） 有（たもつ）,リアルドラえもん,1970/1/29,,大阪府東大阪市,A型,168cm,大阪弁,大阪府立布施北高等学校,,NSC大阪校10期,2018/1/11,,https://profile.yoshimoto.co.jp/talent/detail?id=624,https://www.youtube.com/channel/UC9tSx8FE2U-kxgssRoIK87A,322,22
今いくよ,,,,,,,,,,島田洋介・今喜多代,京都府京都市,1930/1/1,,,,81,81
今くるよ,,,,,,,,,,島田洋介・今喜多代,京都府京都市,2008/1/1,2011/1/1,,,82,82
今井辰紀,,,,,,,,,,,TOKYO☆笑BIZ 2期生,2017/1/1,2011/1/1,https://web.archive.org/web/20091118174802/http://www.sunmusic.org/profile/onetwogyango.html,,128,28
今宮エビス,土屋 嘉生,,1942/1/10,2008/1/27,京都府京都市嵯峨野,,,,,,,1964/1/1,1973/1/1,,,36,36
今泉稔,,,,,,,,,,,,2005/1/1,2009/1/1,http://www.watanabepro.co.jp/mypage/artist/18kin.html,,123,23
今村久仁人,今村 久仁人,,1970/2/10,,兵庫県養父市,A型,173cm,,松山大学中退,,,1986/1/11,2020/1/13,,,356,56
今田耕司,今田 耕司,今ちゃん,1966/3/13,,大阪府大阪市,A型,174cm,大阪弁,清風高等学校定時制課程普通科,,NSC大阪校4期,2003/1/16,,,https://www.youtube.com/channel/UC-nZc5bJCSkf_6umk5Lo_GA,191,91
今別府直之,今別府 直之,,1972/5/1,,兵庫県尼崎市,O型,171cm,関西弁,兵庫県立尼崎西高等学校卒業,,NSC大阪校23期,2009/1/1,2018/1/1,https://web.archive.org/web/20100725054035/http://ima.laff.jp/,,332,32
今野浩喜,住吉 浩喜（すみよし ひろき）,,1978/12/12,,埼玉県新座市,A型（RH+）,171cm,共通語,私立成立学園高等学校,不在,スクールJCA6期,1993/1/1,,http://www.p-jinriki.com/talent/konnohiroki/,,102,2
今立進,,だっつん、だちくん、トシちゃん,1975/9/27,,東京都世田谷区,A型,177cm,共通語,創価大学,,,2011/1/1,,,,26,26
昆布ちゃん,橋本 尊史,,1981/6/10,,北海道函館市,B型,170cm,,,,NSC東京校9期 浅井企画養成所,2013/1/1,,,,10,10
根建太一,,,,,,,,,,,NSC東京校9期,2014/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=2784,,32,32
紺野ぶるま,,,1986/9/30,,静岡県,B型,172cm,,,,,2003/1/1,2006/1/1,https://www.shochikugeino.co.jp/talents/konnobloomers/,,,55
佐久間一行,佐久間 一行,さっくん,1977/9/3,,茨城県水戸市,A型,178cm,共通語、茨城弁,茨城県立勝田高等学校,,NSC東京校2期,2001/1/1,,https://sakumastaff.wixsite.com/sakumaofficialsite,,149,49
佐橋映美,,,,,,,,,,,NSC大阪校21期（佐橋）,1998/1/1,,https://www.neet-project.com/profile/kitchin/,,421,21
佐々木カルパッチョ,,,,,,,,,,,,2011/1/1,,,,,44
佐々木つとむ,,,1947/7/23,1987/9/4,兵庫県神戸市,,,,,,,2006/1/1,2015/1/1,,,,30
佐々木崇博,,,,,,,,,,,NSC東京校10期,1996/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6553,,,43
佐々木孫悟空,佐々木 健三郎,けんちゃん,1974/2/9,,千葉県成田市,O型,,,,,,2004/1/1,2010/1/1,,,,20
佐々木直美,,,2021/3/7,,東京都,O型,,,,,,1990/1/1,,,,,100
佐々木優介,,,,,,,,,,,,1997/1/1,,http://com.horipro.co.jp/talent/jisyaku/,https://www.youtube.com/channel/UCCxFYLhwZwWAXZ_3iZAVN9g,293,93
佐倉亜実,,,2021/11/16,,神奈川県,AB型,,,,,,2018/1/1,,,,,5
佐竹正史,,,,,,,,,,,NSC東京校15期,2013/1/1,2019/1/11,https://profile.yoshimoto.co.jp/talent/detail?id=4247,,,81
佐竹佑一,,,1980/1/18,,広島県広島市,O型,170cm,共通語、広島弁,広島国際学院大学情報工学科,,NSC広島校1期生（2002年）,1997/1/1,,https://twitter.com/ballboysatake,,420,20
佐田正樹,佐田 正樹,,1978/9/13,,福岡県糟屋郡篠栗町,A型,173cm,博多弁、関西弁,福岡第一高等学校卒業,,福岡吉本,2014/1/1,,http://sataworks.com/,https://www.youtube.com/channel/UCXw-7zNPhqafIR0o-vqXX3w,129,29
佐渡谷賢司,,,,,,,,,,,,2008/4/1,2010/3/1,https://www.shochikugeino.co.jp/talents/yabukisadoya/,,,69
佐藤あつし (コメディアン),佐藤 淳,,1965/2/9,,東京都,AB,160cm,東京弁,修徳高等学校,,,2017/1/11,,,,83,83
佐藤りこ,,,1995/3/8,,沖縄県[要出典],A型,,,,,,2008/1/1,,,,,90
佐藤昌宏 (お笑い芸人),,,,,,,,,,,NSC東京校12期,2007/1/1,,,https://www.youtube.com/channel/UCb95HsjFs3cPqDsiSIiZaRg,,46
佐藤太一郎,佐藤 太一郎,,1978/2/25,,大阪府堺市,AB型,175 cm,,大阪府立狭山高等学校,,吉本新喜劇第1個目金の卵オーディション,2005/1/1,2006/1/1,,,84,84
佐藤大樹 (お笑い芸人),,,,,日本,,,,,,ワタナベコメディスクール12期,1993/1/1,,https://www.watanabepro.co.jp/mypage/4000030/,,,82
佐藤哲夫 (お笑い芸人),佐藤 哲夫,,1976/4/3,,大分県大分市,AB型,174cm,共通語・大分弁,九州産業大学商学部中退,,福岡吉本6期生,2013/1/1,2016/1/1,,,478,78
佐藤武志,,,,,,,,,,,,1968/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=131,,,45
佐藤満春,,,,,,,,,,,,2005/1/1,2018/1/1,http://www.kdash.jp/profile/stage/dokidoki/index.php,,387,87
佐伯元輝,,,,,,,,,,,NSC東京校16期,2018/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=3543,https://www.youtube.com/channel/UC8r8xKGsdDID6EYlv-kYWNg,,58
佐伯玲子 (女優),,,1964/9/27,,,B,,,,,,2008/1/1,,,,,49
沙羅 (ものまねタレント),,,1983/1/28,,愛知県名古屋市,A型,165 cm,,関西外国語大学外国語学部英米語学科　卒業,,,2005/1/1,,http://com.horipro.co.jp/talent/sara/,,,79
砂川禎一郎,砂川禎一郎（すなかわていいちろう）,スン様,1981/9/24,,神奈川県,O型,170cm,共通語,法政大学,,大阪府,1971/1/1,2003/1/1,https://www.watanabepro.co.jp/mypage/4000010/,,279,79
斎藤司 (お笑い芸人),,斎藤さん つーおじさん No Hair Human,1979/2/15,,神奈川県横浜市,AB型,172cm,共通語,日本大学商学部商業学科,,NSC東京校10期,2012/1/1,,,,3,3
細谷光栄,,,,,,,,,,,スクールJCA16期,2018/1/1,,https://web.archive.org/web/20100527000401/http://www.p-jinriki.com/pc/talent/damejin/,,,37
細野哲平,,,1986/6/20,,埼玉県,O型,181cm,共通語,,,,2018/1/1,,,https://www.youtube.com/channel/https://www.youtube.com/channel/UCHVUp0GIYjDBvF49cwgOkyw,107,7
財津一郎,財津 永栄（ざいつ ながひで）,,1934/2/22,,,O型,176 cm,,,,,2011/1/1,,,,,78
坂井良多,,,,,,,,,,,NSC東京校15期,2018/1/1,2011/1/10,https://profile.yoshimoto.co.jp/talent/detail?id=3537,https://www.youtube.com/channel/UCr7XbI_K1IPPk4ZrVbZlMDw,,12
坂崎愛,,,1983/6/9,,大阪府,A型,,,,,,2000/1/1,,,,,83
坂上二郎,坂上 二郎,,1934/4/16,2011/3/10,鹿児島県鹿児島市,AB型,160cm,共通語,鹿児島市立清水中学校卒業,内海突破 阿部昇二,浅草フランス座,1992/1/1,2002/1/1,,,19,19
坂田光,,,,,,,,,,,NSC東京校16期,1999/1/1,2015/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=3554,,,59
坂田利夫,地神 利夫 （じがみ としお）,アホの坂田、坂田師匠,1941/10/7,,大阪府大阪市港区,,159cm,大阪弁,此花商業高等学校 （現・大阪偕星学園高等学校）卒業,,吉本新喜劇研究生,1997/1/1,2003/1/1,,,65,65
坂本ちゃん,坂本 恭章（さかもと やすあき）,やっちゃん,1966/4/2,,山梨県甲州市,A型,171cm,共通語,日本大学明誠高等学校卒、日本大学文理学部中退,,,2013/1/1,,,,197,97
坂本純一,,,,,,,,,,,NSC大阪校27期,1993/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=402,,174,74
坂本大亮,,,,,,,,,,,ワタナベコメディスクール1期(坂本),2015/1/1,2018/1/1,,,255,55
阪田マサノブ,坂田 雅信,,1965/3/13,,,B型,,,,,,2008/1/1,2016/1/1,,,,52
堺すすむ,堺 迪,,1942/11/23,,,,,,,,,2008/1/1,,,,,85
桜 稲垣早希,,早希ちゃん アスカ エヴァ娘,1983/12/27,,兵庫県神戸市東灘区,O型,166cm,関西弁 共通語,,,NSC大阪校女性タレントコース1期,1995/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=2885,https://www.youtube.com/channel/UC2JZ0ydnaz1U2J5nUCvW-bw,,75
桜井ちひろ,,,2021/10/18,,東京都八王子市,A型,,,,,,2008/1/1,,,,,4
桜井雅斗,,,1987/10/20,,,A,175,,,,,2012/1/1,,,,,49
桜花 (お笑い芸人),,,1986/4/10,,埼玉県,AB型,160cm,,,,,2018/1/1,,http://com.horipro.co.jp/talent/ohka/,,,51
桜塚やっくん,斎藤 恭央,,1976/9/24,2013/10/5,神奈川県横浜市鶴見区,B型,169cm,,,,スクールJCA7期,2004/1/1,,https://ameblo.jp/sakurazuka/,,,55
鮭オーケストラ,,,1982/9/7,,,不明,,,,,,2016/1/1,,,,,74
笹山理,,,,,,,,,,,,1994/1/1,1996/1/1,http://com.horipro.co.jp/talent/メッツ/index.html/,,,96
鮫島幸恵,鮫島 幸恵,,1989/12/2,,,O型,160 cm,,,,,2004/1/1,2011/1/1,,,,66
三ツ星ジョージ,,,1978/7/3,,岐阜県岐阜市,,,,大東文化大学卒業,,NSC東京校12期,2017/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=3339,,213,13
三浦マイルド,三浦 健一（みうら けんいち）,,1977/10/18,,広島県江田島市,O型,160cm,大阪弁、広島弁（西日本方言）,甲子園大学卒業,,NSC大阪校23期,2019/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=3494,,391,91
三浦昌朗,,,,,,,,,,おぼん・こぼん 5代目鈴々舎馬風,,2019/1/1,,https://grapecom.jp/talent_writer/rocket-dan/,,308,8
三箇一稔,三箇 一稔,,1978/5/1,,,A型,171cm,,,,,2015/1/1,,http://parc-manther.com/,,,82
三好宏明,,,,,,,,,,,,2018/1/1,,,,471,71
三好博道,,,,,,,,,,,ホリプロコムお笑いオーディション,2018/1/1,,http://com.horipro.co.jp/talent/okishijen/,,472,72
三四六,秦 光秀(はた みつひで),,1970/7/9,,東京都,,167cm,,,,,1997/1/1,2007/1/1,,,,88
三須友博,,,,,,,,,,,NSC東京校10期,2020/1/1,,http://search.yoshimoto.co.jp/talent_prf/?id=451,,133,33
三村マサカズ,三村 勝和（みむら まさかず）,ミムちゃん　タマ職人,1967/6/8,,東京都墨田区,A型,165cm,,東海大学付属高輪台高等学校,,ホリプロ,2017/1/1,,,,224,24
三宅克幸,三宅 克幸 （みやけ かつゆき）,,1981/12/11,,岡山県,A型,183cm,共通語・岡山弁,,,,2017/1/1,,,,251,51
三宅十空,三宅知明,ソラタソ,1979/6/20,,広島県広島市,A型,178cm,共通語,専門学校東京アナウンス学院,,,2017/1/1,,https://www.watanabepro.co.jp/mypage/4000010/,,214,14
三中元克,,三ちゃん,1990/7/24,,大阪府大阪市,A型,168cm,共通語、大阪弁,大阪府立今宮工科高等学校,,めちゃイケ新メンバー全国4大都市オーディション,2002/1/1,2009/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=6575,,,63
三島達矢,,,,,,,,,,,NSC大阪校28期,2020/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=3712,https://www.youtube.com/channel/UC0vhOipAozD9bZcNy6CTpgQ,,63
三波伸介 (2代目),澤登 伸一,,1964/6/14,,東京都,B型,171cm,,日本大学芸術学部美術学科,三波伸介 (初代),,2017/1/1,,http://mantenkan.com/,,63,63
三波伸介 (初代),澤登 三郎,三波ちゃん リーダー キャップ,1930/6/28,1982/12/8,東京府東京市本郷区 （現在の東京都文京区）,,,標準語,,,劇団「東童」,2017/1/1,,,,13,13
